ID,TIPO_REPORTE_ID,AREA_ID,MEDIO_ID,DIREECION_ID,ZONA DEL ESTADO,TIPO DE DESAPARICION,ESTATUS DE LA PERSONA DESAPARECIDA O NO LOCALIZADA,FECHA DE DESAPARICION,FECHA EN QUE SE PERCATO,FOLIO CEBV
1,1,1,1,1,CENTRO,,NO LOCALIZADA,18/04/2023,18/04/2023,23/CI 0285M-23ZC
2,2,2,1,2,CENTRO,,NO LOCALIZADA,18/04/2023,18/04/2023,23/CI 0286M-23ZC
3,3,2,1,3,SUR,,NO LOCALIZADA,30/04/2023,30/04/2023,23/CI 0287U-23ZS
4,4,2,1,4,CENTRO,,NO LOCALIZADA,23/04/2023,23/04/2023,23/CI 0288U-23ZC
5,4,2,1,5,CENTRO,,LOCALIZADA CON VIDA,28/04/2023,28/04/2023,23/CI 0289U-23ZC
6,4,2,1,6,CENTRO,,NO LOCALIZADA,03/02/2023,03/02/2023,23/CI 0290U-23ZC
7,4,2,1,7,CENTRO,,NO LOCALIZADA,27/04/2023,27/04/2023,23/CI 0291U-23ZC
8,4,2,1,8,SUR,,LOCALIZADA CON VIDA,20/02/2023,20/02/2023,23/CI 0292M-23ZS
9,4,2,1,9,CENTRO,,NO LOCALIZADA,30/10/2022,30/10/2022,23/CI 0293M-22ZC
10,4,2,1,10,CENTRO,,NO LOCALIZADA,30/10/2022,30/10/2022,23/CI 0294M-22ZC
11,4,2,1,11,CENTRO,,NO LOCALIZADA,30/10/2022,30/10/2022,23/CI 0295M-22ZC
12,4,2,1,12,CENTRO,,LOCALIZADA CON VIDA,02/05/2023,02/05/2023,23/CI 0296U-23ZC
13,4,2,1,13,NORTE,,LOCALIZADA CON VIDA,30/04/2023,01/05/2023,23/CI 0297U-23ZN
14,3,2,1,14,CENTRO,,NO LOCALIZADA,09/04/2023,03/05/2023,23/CI 0298U-23ZC
15,3,2,1,15,NORTE,,NO LOCALIZADA,14/12/2022,14/12/2022,23/CI 0299U-22ZN
16,3,2,1,16,NORTE,,LOCALIZADA CON VIDA,01/05/2023,02/05/2023,23/CI 0300U-23ZN
17,3,2,1,17,SUR,,LOCALIZADA CON VIDA,02/05/2023,02/05/2023,23/CI 0301U-23ZS
18,3,2,1,18,NORTE,,NO LOCALIZADA,07/05/2023,07/05/2023,23/CI 0302U-23ZN
19,3,2,1,19,SUR,,LOCALIZADA CON VIDA,07/05/2023,07/05/2023,23/CI 0303U-23ZS
20,3,2,3,20,CENTRO,,LOCALIZADA CON VIDA,09/05/2023,09/05/2023,23/CI 0304U-23ZC
21,3,2,3,21,SUR,,NO LOCALIZADA,09/05/2023,09/05/2023,23/CI 0305U-23ZS
22,3,2,3,22,CENTRO,,NO LOCALIZADA,00/03/2016,00/03/2016,23/CI 0306U-16ZC
23,3,2,3,23,CENTRO,,NO LOCALIZADA,09/05/2023,09/05/2023,23/CI 0307U-23ZC
24,3,2,3,24,NORTE,,LOCALIZADA CON VIDA,09/05/2023,09/05/2023,23/CI 0308U-23ZN
25,3,2,3,25,CENTRO,,NO LOCALIZADA,10/05/2023,10/05/2023,23/CI 0309U-23ZC
26,3,2,3,26,CENTRO,,NO LOCALIZADA,10/04/2023,10/04/2023,23/CI 0310U-23ZC
27,3,2,3,27,CENTRO,,NO LOCALIZADA,08/05/2023,08/05/2023,23/CI 0311M-23ZC
28,3,2,3,28,CENTRO,,NO LOCALIZADA,08/05/2023,08/05/2023,23/CI 0312M-23ZC
29,5,2,3,29,CENTRO,,NO LOCALIZADA,08/05/2023,08/05/2023,23/CI 0313M-23ZC
30,5,2,3,30,CENTRO,,NO LOCALIZADA,11/05/2023,13/05/2023,23/CI 0314M-23ZC
31,5,2,3,31,CENTRO,,NO LOCALIZADA,14/03/2023,14/03/2023,23/CI 0315U-23ZC
32,5,5,3,32,NORTE,,NO LOCALIZADA,10/06/2012,10/06/2012,23/CI 0316U-12ZN
33,5,5,3,33,SUR,,NO LOCALIZADA,06/05/2023,06/05/2023,23/CI 0317U-23ZS
34,5,5,3,34,CENTRO,,NO LOCALIZADA,04/05/2023,06/05/2023,23/CI 0318U-23ZC
